380	0	0	0
381	0.000421099	3.40E-05	0.002081404
382	0.000768849	6.43E-05	0.003801155
383	0.001067082	9.28E-05	0.00527559
384	0.001339627	0.000121621	0.006621045
385	0.001610317	0.000152778	0.007953855
386	0.001902981	0.000188313	0.009390357
387	0.00224145	0.000230265	0.011046886
388	0.002649556	0.000280671	0.013039779
389	0.003151129	0.00034157	0.015485372
390	0.00377	0.000415	0.0185
391	0.00453	0.000503	0.0222
392	0.00545	0.000608	0.0267
393	0.00654	0.000734	0.0321
394	0.00784	0.000884	0.0385
395	0.00938	0.00106	0.0461
396	0.0112	0.00127	0.0551
397	0.0133	0.0015	0.0658
398	0.0159	0.00178	0.0782
399	0.0188	0.0021	0.0928
400	0.0221	0.00245	0.11
401	0.026	0.00285	0.129
402	0.0304	0.0033	0.151
403	0.0354	0.0038	0.176
404	0.0411	0.00435	0.205
405	0.0474	0.00497	0.237
406	0.0545	0.00566	0.273
407	0.0622	0.00642	0.312
408	0.0707	0.00725	0.355
409	0.0798	0.00814	0.401
410	0.0895	0.00908	0.451
411	0.0997	0.0101	0.503
412	0.11	0.0111	0.559
413	0.121	0.0121	0.616
414	0.133	0.0132	0.676
415	0.145	0.0143	0.738
416	0.157	0.0155	0.801
417	0.169	0.0166	0.866
418	0.181	0.0179	0.93
419	0.193	0.0191	0.992
420	0.204	0.0203	1.05
421	0.214	0.0214	1.11
422	0.223	0.0226	1.16
423	0.232	0.0237	1.21
424	0.24	0.0249	1.26
425	0.249	0.0261	1.31
426	0.258	0.0274	1.35
427	0.266	0.0287	1.41
428	0.275	0.0302	1.46
429	0.284	0.0317	1.51
430	0.292	0.0332	1.55
431	0.299	0.0348	1.6
432	0.305	0.0364	1.64
433	0.311	0.0381	1.67
434	0.317	0.0398	1.71
435	0.323	0.0416	1.75
436	0.329	0.0434	1.79
437	0.335	0.0452	1.83
438	0.341	0.047	1.86
439	0.345	0.0487	1.89
440	0.348	0.0503	1.92
441	0.349	0.0519	1.93
442	0.349	0.0533	1.93
443	0.347	0.0547	1.93
444	0.345	0.0561	1.93
445	0.342	0.0574	1.92
446	0.339	0.0589	1.91
447	0.336	0.0603	1.9
448	0.332	0.0618	1.89
449	0.328	0.0633	1.87
450	0.322	0.0647	1.85
451	0.316	0.0661	1.82
452	0.308	0.0676	1.78
453	0.299	0.069	1.74
454	0.291	0.0706	1.7
455	0.283	0.0724	1.66
456	0.275	0.0744	1.63
457	0.267	0.0766	1.6
458	0.261	0.0791	1.57
459	0.254	0.082	1.54
460	0.249	0.0851	1.52
461	0.243	0.0887	1.5
462	0.238	0.0927	1.49
463	0.233	0.0969	1.47
464	0.228	0.101	1.45
465	0.222	0.106	1.43
466	0.215	0.111	1.4
467	0.208	0.116	1.37
468	0.199	0.12	1.33
469	0.19	0.125	1.29
470	0.181	0.13	1.25
471	0.171	0.135	1.2
472	0.16	0.139	1.15
473	0.15	0.144	1.1
474	0.14	0.149	1.05
475	0.129	0.154	0.999
476	0.119	0.158	0.947
477	0.109	0.163	0.897
478	0.0995	0.168	0.847
479	0.0904	0.174	0.8
480	0.0818	0.179	0.755
481	0.0738	0.184	0.713
