380	0.00269	0.0002	0.0123
381	0.0030007	0.00022371	0.013699
382	0.0034424	0.0002569	0.015702
383	0.0039907	0.00029783	0.018195
384	0.0046214	0.00034477	0.021065
385	0.00531	0.000396	0.0242
386	0.0061082	0.000455	0.027839
387	0.0070728	0.0005258	0.032247
388	0.0081873	0.00060751	0.037345
389	0.0094352	0.00069921	0.043055
390	0.0108	0.0008	0.0493
391	0.012343	0.00091522	0.056359
392	0.014127	0.0010496	0.064527
393	0.016139	0.0012014	0.073746
394	0.018368	0.0013688	0.083956
395	0.0208	0.00155	0.0951
396	0.023553	0.0017522	0.10772
397	0.026713	0.0019815	0.1222
398	0.030216	0.0022347	0.13827
399	0.033999	0.0025086	0.15563
400	0.038	0.0028	0.174
401	0.042282	0.0031139	0.19366
402	0.046946	0.0034573	0.21509
403	0.051989	0.0038297	0.23828
404	0.057409	0.0042308	0.26325
405	0.0632	0.00466	0.29
406	0.069402	0.0051205	0.31877
407	0.076103	0.0056194	0.34997
408	0.083372	0.0061619	0.38388
409	0.091281	0.0067537	0.4208
410	0.0999	0.0074	0.461
411	0.10966	0.0081309	0.5064
412	0.12069	0.0089583	0.55771
413	0.13266	0.0098602	0.61342
414	0.14522	0.010815	0.67202
415	0.158	0.0118	0.732
416	0.17164	0.012854	0.79667
417	0.18643	0.013999	0.86735
418	0.2015	0.015187	0.93948
419	0.21598	0.01637	1.0085
420	0.229	0.0175	1.07
421	0.24087	0.018581	1.1247
422	0.2523	0.019645	1.1765
423	0.26298	0.020689	1.2248
424	0.27264	0.021708	1.2694
425	0.281	0.0227	1.31
426	0.28822	0.023646	1.347
427	0.29474	0.024549	1.3815
428	0.30064	0.02544	1.4133
429	0.30603	0.026347	1.4428
430	0.311	0.0273	1.47
431	0.31604	0.028312	1.4963
432	0.32115	0.029366	1.5219
433	0.32574	0.030444	1.5453
434	0.32922	0.031528	1.5652
435	0.331	0.0326	1.58
436	0.33167	0.033674	1.5917
437	0.33223	0.034762	1.6025
438	0.33265	0.035842	1.6116
439	0.33291	0.036895	1.6177
440	0.333	0.0379	1.62
441	0.33199	0.038849	1.6169
442	0.32932	0.039758	1.6088
443	0.32556	0.040643	1.5972
