scene,max_min_ratio,weber_contrast,michelson_contrast,rms_contrast
Trails,2.5306056,1.5306081434989973,0.43352565396669984,0.06237423
Trails,2.1754336,1.1754358888683907,0.37016545402037826,0.041511532
Trails,1.8043444,0.8043462512049708,0.2868215051706941,0.03745863
Trails,2.8488286,1.848831740659247,0.4803621915580218,0.041842997
Trails,2.9058735,1.9058764649127964,0.48795138776946256,0.09252551
Trails,3.0120387,2.0120420100932828,0.5015011402221567,0.088385634
Trails,2.5306056,1.5306081434989973,0.43352565396669984,0.06237423
Trails,2.1754336,1.1754358888683907,0.37016545402037826,0.041511532
Trails,1.8043444,0.8043462512049708,0.2868215051706941,0.03745863
Trails,2.8488286,1.848831740659247,0.4803621915580218,0.041842997
Trails,2.9058735,1.9058764649127964,0.48795138776946256,0.09252551
Trails,3.0120387,2.0120420100932828,0.5015011402221567,0.088385634
Trails,2.5520763,1.5520792460810828,0.43694984497268785,0.062582046
Trails,2.1681366,1.1681388782937048,0.36871478985864287,0.041246414
Trails,1.7883177,0.7883196131143853,0.28272230186259534,0.03738296
Trails,2.8470502,1.8470532960436952,0.4801219739162441,0.04224131
Trails,2.904753,1.9047559501408862,0.4878044536018181,0.0927501
Trails,3.0365758,2.036579029199157,0.5045313561184782,0.08844527
Tarmac,2.3980522,1.39805468807172,0.4114282359401302,0.11745276
Tarmac,2.0672224,1.0672245995532044,0.3479449687264118,0.06503932
Tarmac,2.361899,1.3619015006131936,0.4050988831212209,0.043845885
Tarmac,2.1946852,1.1946876236697686,0.3739609810394106,0.04130919
Tarmac,2.3980522,1.39805468807172,0.4114282359401302,0.11745276
Tarmac,2.0672224,1.0672245995532044,0.3479449687264118,0.06503932
Tarmac,2.361899,1.3619015006131936,0.4050988831212209,0.043845885
Tarmac,2.1946852,1.1946876236697686,0.3739609810394106,0.04130919
Tarmac,2.3921509,1.3921532786381858,0.41040428575514254,0.11667223
Tarmac,2.0769186,1.076920724791732,0.34999974363952996,0.064705186
Tarmac,2.3557634,1.3557659536113227,0.40401119207932445,0.043252535
Tarmac,2.187495,1.1874973514539866,0.37254878021513377,0.04076846
Old-Snow-Scenarios,1.7172382,0.7172400427745783,0.2639591996610926,0.089452505
Old-Snow-Scenarios,1.3888868,0.3888883051260603,0.16279058962750811,0.04407009
Old-Snow-Scenarios,1.6938745,0.6938762756135038,0.2575755719402716,0.0798367
Old-Snow-Scenarios,1.5243878,0.5243893799415169,0.20772932539706726,0.032822277
Old-Snow-Scenarios,1.592354,0.5923556684456812,0.2285010768039109,0.050260358
Old-Snow-Scenarios,2.320749,1.3207514450112119,0.39772695025389315,0.04164774
Old-Snow-Scenarios,1.7172382,0.7172400427745783,0.2639591996610926,0.089452505
Old-Snow-Scenarios,1.3888868,0.3888883051260603,0.16279058962750811,0.04407009
Old-Snow-Scenarios,1.6938745,0.6938762756135038,0.2575755719402716,0.07983668
Old-Snow-Scenarios,1.5243878,0.5243893799415169,0.20772932539706726,0.032822277
Old-Snow-Scenarios,1.592354,0.5923556684456812,0.2285010768039109,0.050260358
Old-Snow-Scenarios,2.320749,1.3207514450112119,0.39772695025389315,0.04164774
Old-Snow-Scenarios,1.7083302,0.7083320042309635,0.2615382701471792,0.08208225
Old-Snow-Scenarios,1.3876384,0.3876398610113453,0.16235282634619938,0.044155665
Old-Snow-Scenarios,1.6965486,0.6965504261560809,0.2583118419548512,0.079194345
Old-Snow-Scenarios,1.5246888,0.5246904828953766,0.20782380813855267,0.032642808
Old-Snow-Scenarios,1.5935457,0.5935473524127736,0.22885555891789278,0.049920812
Old-Snow-Scenarios,2.3269172,1.326919726455771,0.39884360164936383,0.04087635
